id,question,answer,createdAt,updatedAt
1,Paketler ve fiyatlar nedir?,"Standard: $39/ay, yıllık ödersen aylık $15. Premium: $59/ay, yıllık ödersen aylık $23. VIP: $129/ay, yıllık ödersen aylık $49. Yıllık alımlar, aylık ödemeye göre %61 indirimlidir.",2025-12-27T15:08:07.832Z,2025-12-27T15:10:25.916Z
2,Standard pakette neler var?,"Eğitimlere erişim ve otomasyonlara erişim. ",2025-12-27T15:08:07.832Z,2025-12-27T15:10:39.601Z
3,Premium pakette neler var?,"Eğitimlere erişim, otomasyonlara erişim, Dolunay'dan yazılı soru-cevap desteği ve canlı yayınlara erişim. ",2025-12-27T15:08:07.832Z,2025-12-27T15:10:43.395Z
4,VIP pakette neler var?,"Eğitimlere erişim, otomasyonlara erişim, Dolunay'dan yazılı soru-cevap desteği, canlı yayınlara erişim, her ay bire bir görüşme ve iş fırsatlarına erişim. ",2025-12-27T15:08:07.832Z,2025-12-27T15:10:46.996Z
5,Yazılı soru-cevap desteği hangi paketlerde var? Ne kadar sürede dönüyorsun?,Premium ve VIP paketlerde yazılı soru-cevap desteği var. Dolunay çoğu zaman 24 saatten kısa sürede cevap veriyor.,2025-12-27T15:08:07.832Z,2025-12-27T15:11:08.872Z
6,Canlı yayınlar ne? Sıklığı nedir?,"Canlı yayınların adı ""Doğaçlama otomasyon yapıyoruz"". Haftada 2 kez yapılır. Bu yayınlarda Dolunay sıfırdan herhangi bir sektör için bir otomasyon yapıyor ve otomasyon mantığının nasıl inşa edildiğini baştan sona gösteriyor.",2025-12-27T15:08:07.832Z,2025-12-27T15:11:41.904Z
7,Affiliate sistemi nasıl çalışıyor? Ne kadar kazanıyorum?,AI Factory üyesiysen kendi davet linkinle birini AI Factory'ye dahil edebilirsin. O kişi ödeme yapmaya devam ettikçe ömür boyu ödemenin %50’si sana kalır.,2025-12-27T15:08:07.832Z,2025-12-27T15:12:03.656Z
8,Paketimi upgrade veya downgrade edebilir miyim?,Evet. Örneğin Standard’dan Premium’a aradaki farkı ödeyerek geçebilirsin. Aynı şekilde aylık paketten yıllık pakete de aradaki farkı ödeyerek geçebilirsin.,2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
9,Eğitimler ve otomasyonlar nasıl ilerliyor? Nereden başlamalıyım?,"Topluluğa katıldığında 7 gün boyunca her gün benden mail almaya başlayacaksın. Böylece bir hafta içinde topluluğu sana tanıtacağım.

AI Factory'e giriş yaptığında ilk başlamana önerdiğim şey ilk eğitim: Sıfırdan n8n Uzmanlığı. Bu eğitimle yapay zeka otomasyonlarına giriş yapıp temeli atıyorsun. 

Bu eğitimin dışında 6 farklı eğitim ve otomasyon daha bulunuyor. Temelleri aldıktan sonra dilediğin diğer eğitime/otomasyona geçebilirsin. ",2025-12-27T15:08:07.832Z,2025-12-27T15:14:12.813Z
10,Sıfırdan n8n Uzmanlığı eğitimi ne?,Yapay zeka otomasyonlarına giriş yapman için gereken temelleri atar. Sonraki eğitimlere geçiş için temel oluşturur.,2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
11,Hotel eğitimi ne öğretiyor?,"Oteller için WhatsApp ve Instagram Messenger üzerinden çalışan yapay zeka asistanını öğretiyorum. Bu otomasyon, sosyal medyadan gelen tüm mesajları yapay zeka ile otomatik cevaplar. Bu çözümü otelcilere aylık yaklaşık $1000 seviyesinde satıyoruz.",2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
12,Süpermarket otomasyonu ne yapıyor?,"On binlerce ürünü olan market zincirlerinde ürünleri tek tek analiz eder; stok durumunu ve satışı takip eder, personel ile gerekli raporlamayı yapar. Bu, bizim süpermarketçilere sattığımız otomasyondur.",2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
13,E-Ticaret otomasyonu ne yapıyor?,Tek bir ürün görseli ile yüksek kaliteli yapay zeka reklam videoları üretir.,2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
14,YouTube eğitimi ne yapıyor?,"Tek bir komutla istediğin konsepte YouTube videoları üretir ve otomatik olarak YouTube, Instagram ve TikTok'ta paylaşır.",2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
15,Influencer eğitimi ne öğretiyor?,"Yapay zeka influencer oluşturmayı, bunu sosyal medyada bilinen bir karakter haline getirmeyi ve bu işten gelir elde etmeyi öğretir. Ayrıca içerideki otomasyonla tek bir komut vererek kendi oluşturduğun influencer'ın video üretmesini ve sosyal medyada otomatik paylaşmasını sağlayabilirsin.",2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
16,Diğer otomasyonlar bölümünde neler var?,"LinkedIn otomasyonu: Senin yerine düzenli LinkedIn postları yazar, onayına sunar; onay verirsen otomatik paylaşır. Emlakçı otomasyonu: Bir emlakçının asistanı gibi çalışır; takvimi organize eder, müşteri listesini okur, veriye ekleme/çıkarma yapar.",2025-12-27T15:08:07.832Z,2025-12-27T15:08:07.832Z
17,Sıfırdan başlayabilir miyim?,Yapay zeka otomasyonları oldukça yeni bir alan ve Dolunay dahil olmak üzere bu işle şu anda ilgilenen herkes birkaç sene önce sıfırdan başladı. Bu yüzden eğitimler hiçbir teknik bilgisi olmayan herkesin anlayabileceği şekilde tasarlanmıştır.,2025-12-27T15:14:36.323Z,2025-12-27T15:15:26.672Z
18,Ne vaat ediliyor?,"AI Factory topluluğuna katılan herkes daha birinci günden temel yapay zeka otomasyonu kurmayı öğrenecek. 

Birkaç gün içerisinde Dolunay'ın hazırlamış olduğu otomasyonlardan dilediğini çalıştırabilecek.

Birkaç hafta içerisinde ise kendisi sıfırdan bir otomasyon inşa edebilecek.",2025-12-27T15:15:27.958Z,2025-12-27T15:16:40.052Z
19,Dolunay ile görüşmek istiyorum,"Güncel yoğunluğundan ötürü Dolunay Bey, hizmet verdiği işletme sayısını ve birebir görüşme sayısını sınırlandırmaktadır. 

Sadece 50 personel ve üzeri şirketler ile proje gerçekleştirmek için birebir görüşmektedir.

VIP AI Factory üyeleriyle birebir görüşme, Premium AI Factory üyeleriyle yazılı soru cevap yapmaktadır.",2025-12-27T15:16:56.504Z,2025-12-27T15:18:50.001Z
20,Projemi Dolunay yapsın,"Dolunay Bey güncel yoğunluğundan ötürü sadece 50 personelin üzerindeki şirketlere kendisi hizmet sağlamaktadır. 

10 ile 50 personel büyüklüğündeki şirketlere ise AI Factory topluluğundaki öğrencilerinden ilgili kişileri yönlendirmektedir.

Kriterlere uyuyorsanız bu formu doldurarak iletişime geçebilirsiniz: https://forms.gle/DLzy7QGTbfe6hRk47",2025-12-27T15:18:51.112Z,2025-12-27T15:20:58.029Z
21,Üyeliğimi iptal edebilir miyim?,"Evet, dilediğinizde üyeliğinizi iptal edebilirsiniz. Üyeliği sürdürme zorunluluğu yoktur.",2025-12-27T15:21:00.075Z,2025-12-27T15:22:00.699Z
22,Otomasyonlara nasıl erişebilirim?,Tüm otomasyonlar sadece AI Factory üyeleri ile paylaşılmaktadır. Erişmek için AI Factory'ye üye olmanız gerekir.,2025-12-27T15:22:29.617Z,2025-12-27T15:22:54.700Z
23,AI Factory linki,https://www.skool.com/yapay-zeka-factory/about?ref=044f39496d4f45fab11775bcefe4b7f4,2025-12-27T15:22:56.236Z,2025-12-27T15:23:04.333Z
